runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,5790,599.978,1,154,9.5,1,0
1,5777,599.974,2,172,6.44444,0.666667,0.509891
2,5675,599.911,1,168,9.16667,1,0
3,6073,599.911,1,168,9.16667,1,0
4,5613,599.903,1,147,9.58333,1,0
5,5731,599.862,1,168,9.16667,1,0
6,5805,600.022,2,172,6.44444,0.666667,0.509891
7,5750,599.961,2,172,6.44444,0.666667,0.509891
8,5754,599.959,2,172,6.44444,0.666667,0.509891
9,5732,599.976,2,172,6.44444,0.666667,0.509891
10,5762,599.714,1,168,9.16667,1,0
11,5629,599.917,2,172,6.44444,0.666667,0.509891
12,5606,599.994,1,168,9.16667,1,0
13,5878,599.965,1,154,9.5,1,0
14,5818,599.839,1,168,9.16667,1,0
15,5768,599.877,1,168,9.16667,1,0
16,5783,599.89,2,172,6.44444,0.666667,0.509891
17,5732,600.044,1,168,9.16667,1,0
18,5892,599.913,1,168,9.16667,1,0
19,5516,599.966,2,164,5.9,0.6,0.49717
20,5798,599.936,2,151,8.22222,0.833333,0.49717
21,5886,599.972,1,168,9.16667,1,0
22,5729,599.871,2,172,6.44444,0.666667,0.509891
23,5682,599.993,2,172,6.44444,0.666667,0.509891
24,6009,599.99,1,168,9.16667,1,0
25,6033,599.955,1,168,9.16667,1,0
26,5750,599.976,1,147,9.58333,1,0
27,5820,599.992,1,168,9.16667,1,0
28,5984,599.858,1,168,9.16667,1,0
29,6154,599.937,1,168,9.16667,1,0
,,,184,,,
