runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,3674,599.794,0,0,333,333,333
1,3679,600.091,0,0,333,333,333
2,3634,599.609,0,0,333,333,333
3,3692,599.865,0,0,333,333,333
4,3718,599.952,0,0,333,333,333
5,3669,600.182,0,0,333,333,333
6,3648,599.353,0,0,333,333,333
7,3637,599.989,0,0,333,333,333
8,3660,599.914,0,0,333,333,333
9,3695,599.894,0,0,333,333,333
10,3669,599.762,0,0,333,333,333
11,3704,599.837,0,0,333,333,333
12,3645,599.725,0,0,333,333,333
13,3645,599.993,0,0,333,333,333
14,3644,599.932,0,0,333,333,333
15,3704,600.067,0,0,333,333,333
16,3670,599.931,0,0,333,333,333
17,3686,599.698,0,0,333,333,333
18,3649,599.854,0,0,333,333,333
19,3690,599.986,0,0,333,333,333
20,3644,599.829,0,0,333,333,333
21,3643,599.989,0,0,333,333,333
22,3731,599.814,0,0,333,333,333
23,3676,599.807,0,0,333,333,333
24,3668,599.922,0,0,333,333,333
25,3698,600.008,0,0,333,333,333
26,3711,599.86,0,0,333,333,333
27,3666,600.068,0,0,333,333,333
28,3649,599.806,0,0,333,333,333
29,3633,599.961,0,0,333,333,333
,,,144,,,
