runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,5599,600.542,1,28,43.5,1,0
1,5579,599.957,1,36,43.25,1,0
2,5482,600.067,2,58,2.66667,0.333333,0.488066
3,5506,599.973,1,15,43.8125,1,0
4,5288,599.928,1,32,43.4,1,0
5,5363,599.979,1,24,43.5714,1,0
6,5427,599.905,2,42,17.6667,0.666667,0.509891
7,5175,600.003,1,0,43.9231,1,0
8,5708,599.98,1,24,43.5714,1,0
9,5227,599.968,1,32,43.4,1,0
10,5236,599.971,2,48,6.625,0.75,0.509891
11,5505,599.909,1,40,43,1,0
12,5523,599.927,1,28,43.5,1,0
13,5258,599.976,1,18,43.7857,1,0
14,5446,599.972,2,48,5.2,0.6,0.509891
15,5519,599.958,1,36,43.25,1,0
16,5306,599.992,1,28,43.5,1,0
17,5131,599.986,2,42,22.125,0.5,0.509891
18,5264,599.912,1,8,43.7273,1,0
19,5624,600.056,1,24,43.5714,1,0
20,5281,599.923,1,44,40.3333,1,0
21,5130,599.915,1,40,43,1,0
22,5680,599.961,1,40,8.4,1,0
23,5446,599.984,1,20,43.625,1,0
24,5325,600.003,1,44,40.3333,1,0
25,5236,599.867,2,39,24.125,0.75,0.509891
26,5401,600.079,1,32,43.4,1,0
27,5285,599.84,1,40,43,1,0
28,5521,599.977,1,28,43.5,1,0
29,5480,600.006,1,9,43.85,1,0
,,,62,,,
