runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,8976,599.958,1,320,333,333,0
1,9231,600.021,1,320,333,333,0
2,9291,600.003,1,320,333,333,0
3,9346,599.934,1,320,333,333,0
4,9362,599.924,1,320,333,333,0
5,8920,599.978,1,320,333,333,0
6,9055,599.981,1,320,333,333,0
7,8993,599.981,1,320,333,333,0
8,8904,599.946,1,320,333,333,0
9,9169,599.998,1,320,333,333,0
10,9057,599.983,1,320,333,333,0
11,8962,599.919,1,320,333,333,0
12,9290,600.039,1,320,333,333,0
13,9219,599.924,1,320,333,333,0
14,9044,599.95,1,320,333,333,0
15,9033,600.025,1,320,333,333,0
16,8986,599.932,1,320,333,333,0
17,9145,599.973,1,320,333,333,0
18,9135,600.029,1,320,333,333,0
19,9055,599.893,1,320,333,333,0
20,8956,600.025,1,320,333,333,0
21,8909,599.965,1,320,333,333,0
22,8943,599.961,1,320,333,333,0
23,9295,600.005,1,320,333,333,0
24,9053,599.917,1,320,333,333,0
25,8998,599.922,1,320,333,333,0
26,9096,599.966,1,320,333,333,0
27,8982,599.938,1,320,333,333,0
28,8923,599.921,1,320,333,333,0
29,8788,599.949,1,320,333,333,0
,,,320,,,
