runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,31336,600.009,2,188,4.5,0.5,0.488066
1,32614,599.974,2,188,4.5,0.5,0.488066
2,31164,599.965,2,188,4.5,0.5,0.488066
3,31945,599.993,2,188,4.5,0.5,0.488066
4,30778,599.999,2,188,4.5,0.5,0.488066
5,32133,599.99,2,181,6.33333,0.666667,0.49717
6,30407,600.019,2,181,6.33333,0.666667,0.49717
7,32346,599.973,2,188,4.5,0.5,0.488066
8,30823,599.969,2,188,4.5,0.5,0.488066
9,31063,599.955,1,162,24.5,0.5,0
10,31090,600.016,2,161,24.75,0.5,0.49717
11,31937,599.978,2,188,4.5,0.5,0.488066
12,31015,599.997,2,188,4.5,0.5,0.488066
13,30809,599.991,2,188,4.5,0.5,0.488066
14,30903,599.979,2,188,4.5,0.5,0.488066
15,30828,599.975,2,188,4.5,0.5,0.488066
16,30279,600,2,161,24.75,0.5,0.49717
17,32212,600,2,188,4.5,0.5,0.488066
18,31984,599.973,2,188,4.5,0.5,0.488066
19,30787,599.961,2,188,4.5,0.5,0.488066
20,30768,599.999,2,181,6.33333,0.666667,0.49717
21,33283,600.008,1,156,29.25,1,0
22,30792,599.948,2,188,4.5,0.5,0.488066
23,30597,600.002,2,188,4.5,0.5,0.488066
24,31843,599.971,1,156,29.25,1,0
25,30857,599.991,2,188,4.5,0.5,0.488066
26,30871,600.007,2,188,4.5,0.5,0.488066
27,32131,599.975,2,188,4.5,0.5,0.488066
28,32158,600.001,2,181,6.33333,0.666667,0.49717
29,30706,599.968,2,181,6.33333,0.666667,0.49717
,,,193,,,
