runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,5578,600.032,0,0,333,333,333
1,5528,599.974,2,3,30.8889,0.916667,0.509891
2,5639,599.962,0,0,333,333,333
3,5691,599.953,0,0,333,333,333
4,5798,600.081,0,0,333,333,333
5,5576,599.854,0,0,333,333,333
6,5487,599.887,0,0,333,333,333
7,5586,599.967,0,0,333,333,333
8,5655,599.983,0,0,333,333,333
9,5586,599.962,0,0,333,333,333
10,5948,599.976,0,0,333,333,333
11,5367,600.001,0,0,333,333,333
12,5374,599.96,0,0,333,333,333
13,5671,600.036,0,0,333,333,333
14,5597,600.008,0,0,333,333,333
15,5519,599.88,1,0,43.9762,1,0
16,5441,600.042,0,0,333,333,333
17,5924,599.927,0,0,333,333,333
18,5581,599.939,0,0,333,333,333
19,6202,599.945,0,0,333,333,333
20,5750,600.015,0,0,333,333,333
21,5473,600.042,0,0,333,333,333
22,5898,599.921,1,4,43.9667,1,0
23,5416,599.938,0,0,333,333,333
24,5585,600.076,0,0,333,333,333
25,5896,599.942,0,0,333,333,333
26,5565,599.969,0,0,333,333,333
27,5573,599.959,0,0,333,333,333
28,5591,600.006,0,0,333,333,333
29,5722,599.981,0,0,333,333,333
,,,94,,,
