runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,7636,600.017,1,9,41,1,0
1,7704,599.617,1,20,333,333,0
2,7436,599.998,1,10,41,1,0
3,7472,599.891,2,34,6.6,1,inf
4,7272,600.003,2,17,26.5,1,inf
5,7944,599.877,1,9,41,1,0
6,7331,600.066,2,23,23.3333,1,inf
7,7687,599.916,1,28,333,333,0
8,7824,599.942,1,0,41,1,0
9,7658,599.963,1,12,41,1,0
10,7531,599.992,0,0,333,333,333
11,7807,599.937,1,20,41,1,0
12,7614,600.013,2,43,5.66667,1,inf
13,7383,599.897,1,33,41,1,0
14,7627,600.046,1,6,41,1,0
15,7530,599.949,0,0,333,333,333
16,7554,599.902,1,22,41,1,0
17,7730,599.93,1,33,41,1,0
18,7278,600.026,1,12,41,1,0
19,7490,599.911,0,0,333,333,333
20,7517,599.929,1,40,333,333,0
21,7698,600.038,0,0,333,333,333
22,7562,599.933,1,32,333,333,0
23,7676,599.972,1,7,41,1,0
24,7884,599.99,1,24,41,1,0
25,7513,600.033,1,4,41,1,0
26,7671,599.976,1,52,333,333,0
27,7302,599.878,1,20,41,1,0
28,7399,599.992,1,0,41,1,0
29,7495,599.905,1,8,41,1,0
,,,52,,,
