runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,5876,600.546,1,36,25.3,1,0
1,5803,599.979,1,64,7,1,0
2,5844,599.963,1,44,7.83333,1,0
3,5921,599.97,1,60,7.5,1,0
4,5898,599.841,1,56,7.66667,1,0
5,6029,599.906,1,44,7.83333,1,0
6,6066,599.941,1,56,7.66667,1,0
7,5891,600,1,48,24.5,1,0
8,5694,599.959,2,33,15.5,0.833333,0.509891
9,5910,600.028,1,36,7.875,1,0
10,5908,599.937,1,39,25.25,1,0
11,5908,599.943,1,48,7.8,1,0
12,5838,600.008,1,32,7.88889,1,0
13,5621,599.901,2,22,7.33333,0.916667,0.509891
14,5840,599.97,1,64,7,1,0
15,5811,600.015,1,40,7.85714,1,0
16,5845,599.926,1,18,42.875,1,0
17,6165,599.976,1,45,25,1,0
18,5782,599.945,1,60,7.5,1,0
19,5720,599.946,3,13,18.0952,0.857143,0.599401
20,5715,600.007,1,60,7.5,1,0
21,5964,599.929,1,60,7.5,1,0
22,5881,599.929,1,13,42.8333,1,0
23,5933,599.965,1,60,7.5,1,0
24,5797,599.945,1,52,7.75,1,0
25,6120,599.967,1,9,25.4286,1,0
26,5849,599.99,1,36,7.875,1,0
27,5545,599.915,2,22,6.76923,0.846154,0.509891
28,5934,600.036,1,60,7.5,1,0
29,6258,600.014,1,56,7.66667,1,0
,,,66,,,
