nodeName,nodeType,x,y
F1,"channel",1,0
F3,"channel",2,0
F5,"channel",6,2
F7,"channel",5,3
F9,"channel",1,5
F11,"channel",1,6
G1,"channel",5,6
G3,"channel",6,6
G5,"channel",2,9
G7,"channel",5,9
G9,"channel",1,12
G11,"channel",5,12
G13,"channel",6,12
G15,"channel",1,15
E1,"channel",5,17
E3,"channel",4,17
E5,"channel",6,20
E7,"channel",1,20
TB7,"channel",2,20
TB9,"channel",5,20
TB11,"channel",2,17
TG1,"channel",2,12
TG3,"channel",1,9
TG5,"channel",2,6
TG7,"channel",6,3
TG9,"channel",2,3
TG11,"channel",5,2
T42,"amplifier",2,14
T45,"amplifier",2,11
T46,"amplifier",6,14
T49,"amplifier",6,8
T51,"amplifier",2,8
T55,"amplifier",6,18
T56,"amplifier",5,18
T57,"amplifier",1,18
T58,"amplifier",2,18
T59,"amplifier",1,17
T60,"amplifier",5,15
T61,"amplifier",5,14
T62,"amplifier",1,14
T63,"amplifier",5,11
T64,"amplifier",1,11
T65,"amplifier",5,8
T66,"amplifier",1,8
T67,"amplifier",5,5
T68,"amplifier",1,3
T69,"amplifier",2,2
T70,"amplifier",1,2
T71,"amplifier",5,0
T72,"amplifier",6,0
s1,"switch",1,1
s2,"switch",2,1
s3,"switch",5,1
s4,"switch",6,1
s5,"switch",0,4
s6,"switch",1,4
s7,"switch",2,4
s8,"switch",3,4
s9,"switch",4,4
s10,"switch",5,4
s11,"switch",6,4
s12,"switch",7,4
s13,"switch",0,7
s14,"switch",1,7
s15,"switch",2,7
s16,"switch",3,7
s17,"switch",4,7
s18,"switch",5,7
s19,"switch",6,7
s20,"switch",7,7
s21,"switch",0,10
s22,"switch",1,10
s23,"switch",2,10
s24,"switch",3,10
s25,"switch",4,10
s26,"switch",5,10
s27,"switch",6,10
s28,"switch",7,10
s29,"switch",0,13
s30,"switch",1,13
s31,"switch",2,13
s32,"switch",3,13
s33,"switch",4,13
s34,"switch",5,13
s35,"switch",6,13
s36,"switch",7,13
s37,"switch",0,16
s38,"switch",1,16
s39,"switch",2,16
s40,"switch",3,16
s41,"switch",4,16
s42,"switch",5,16
s43,"switch",6,16
s44,"switch",7,16
s45,"switch",1,19
s46,"switch",2,19
s47,"switch",3,19
s48,"switch",4,19
s49,"switch",5,19
s50,"switch",6,19
