runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy,swInst,chInst
0,11769,599.273,2,130,19.3333,0.666667,0.509891,0,0
1,11500,599.965,2,165,0,0,0.326634,0,0
2,11442,599.953,2,114,30.3333,0.666667,0.509891,0,0
3,11656,599.973,1,147,9.66667,1,0,0,0
4,11645,599.787,1,147,9.66667,1,0,0,0
5,11849,600.292,1,147,9.66667,1,0,0,0
6,11449,599.963,1,138,21.6667,1,0,0,0
7,11932,599.917,1,147,9.66667,1,0,0,0
8,11435,599.825,2,161,0.571429,0.571429,0.488066,0,0
9,11239,599.943,2,151,6.66667,0.666667,0.509891,0,0
10,11368,599.625,1,161,9,1,0,0,0
11,11591,600.559,2,165,0,0,0.326634,0,0
12,11564,601.474,2,165,0,0,0.326634,0,0
13,10790,601.484,1,161,9,1,0,0,0
14,11646,599.944,1,138,21.6667,1,0,0,0
15,11620,599.737,1,161,9,1,0,0,0
16,11777,599.891,1,147,9.66667,1,0,0,0
17,12434,599.773,2,165,0,0,0.326634,0,0
18,11997,599.923,1,147,9.66667,1,0,0,0
19,11240,599.836,2,151,6.66667,0.666667,0.509891,0,0
20,11822,599.908,1,147,9.66667,1,0,0,0
21,11650,599.966,2,151,6.66667,0.666667,0.509891,0,0
22,11644,599.645,1,147,9.66667,1,0,0,0
23,12158,599.772,1,147,9.66667,1,0,0,0
24,11220,599.938,2,130,19.3333,0.666667,0.509891,0,0
25,11357,599.926,2,124,20.1667,0.75,0.509891,0,0
26,12122,599.941,2,151,6.66667,0.666667,0.509891,0,0
27,11897,599.964,2,151,6.66667,0.666667,0.509891,0,0
28,11476,599.99,1,147,9.66667,1,0,0,0
29,11152,599.694,1,138,21.6667,1,0,0,0
0,11701,599.27,1,264,35,1,0,0,1
1,11285,599.974,1,264,35,1,0,0,1
2,11607,599.997,1,264,35,1,0,0,1
3,11707,599.943,1,264,35,1,0,0,1
4,11427,599.989,1,253,35.5,1,0,0,1
5,11423,599.818,1,264,35,1,0,0,1
6,11090,600.001,1,276,14.5,1,0,0,1
7,11952,599.898,1,264,35,1,0,0,1
8,11740,600.013,1,230,56.5,1,0,0,1
9,11490,599.912,1,253,35.5,1,0,0,1
10,11537,599.886,1,253,35.5,1,0,0,1
11,11226,599.67,1,264,35,1,0,0,1
12,11232,599.914,1,264,35,1,0,0,1
13,10581,600.571,1,264,35,1,0,0,1
14,11557,599.67,1,230,56.5,1,0,0,1
15,11676,599.779,1,264,35,1,0,0,1
16,11498,600.04,1,288,14,1,0,0,1
17,11929,600.599,1,288,14,1,0,0,1
18,11273,599.992,1,210,56.75,1,0,0,1
19,11854,599.878,1,264,35,1,0,0,1
20,11585,599.997,1,264,35,1,0,0,1
21,11391,599.975,1,288,14,1,0,0,1
22,11323,599.945,1,288,14,1,0,0,1
23,11324,599.917,1,240,56,1,0,0,1
24,11991,599.631,1,264,35,1,0,0,1
25,11952,599.945,1,240,56,1,0,0,1
26,11436,599.939,1,264,35,1,0,0,1
27,11377,599.957,1,180,56.8571,1,0,0,1
28,11401,599.98,1,264,35,1,0,0,1
29,11691,599.953,1,264,35,1,0,0,1
0,11470,599.699,1,92,6.58333,1,0,0,10
1,11706,599.916,1,92,6.58333,1,0,0,10
2,11318,599.938,2,96,2.25,0.333333,0.49717,0,10
3,11169,599.965,1,92,6.58333,1,0,0,10
4,11770,599.585,1,96,6.375,1,0,0,10
5,11178,600.876,2,90,5.0625,0.75,0.49717,0,10
6,11600,599.984,1,92,6.58333,1,0,0,10
7,11925,599.767,1,92,6.58333,1,0,0,10
8,11960,599.688,1,92,6.58333,1,0,0,10
9,11117,599.745,2,96,3.375,0.5,0.509891,0,10
10,11342,602.229,1,92,6.58333,1,0,0,10
11,11369,599.441,1,92,6.58333,1,0,0,10
12,11000,602.237,2,94,4.41667,0.666667,0.49717,0,10
13,12181,602.399,1,92,6.58333,1,0,0,10
14,11423,599.317,1,92,6.58333,1,0,0,10
15,11061,599.579,2,96,2.25,0.333333,0.49717,0,10
16,11665,600.731,1,92,6.58333,1,0,0,10
17,11318,600.228,1,92,6.58333,1,0,0,10
18,11763,599.818,1,92,6.58333,1,0,0,10
19,11003,599.933,2,96,2.25,0.333333,0.49717,0,10
20,10862,599.82,3,99,0,0,0.270001,0,10
21,11368,599.978,2,96,2.25,0.333333,0.49717,0,10
22,11648,599.975,1,92,6.58333,1,0,0,10
23,11454,600.808,1,92,6.58333,1,0,0,10
24,11521,599.552,1,92,6.58333,1,0,0,10
25,11228,599.952,1,92,6.58333,1,0,0,10
26,11231,599.939,1,92,6.58333,1,0,0,10
27,11686,599.968,1,92,6.58333,1,0,0,10
28,11437,599.779,2,96,3.375,0.5,0.509891,0,10
29,11107,600.022,2,96,2.25,0.333333,0.49717,0,10
0,11497,599.052,3,226,3.16667,0.333333,0.461709,0,11
1,11401,599.981,3,226,3.16667,0.333333,0.461709,0,11
