runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy,swInst,chInst
0,3664,599.932,0,0,333,333,333,0,0
1,3733,599.919,0,0,333,333,333,0,0
2,3666,599.592,0,0,333,333,333,0,0
3,3689,599.834,0,0,333,333,333,0,0
4,3624,599.996,0,0,333,333,333,0,0
5,3661,599.803,0,0,333,333,333,0,0
6,3689,599.96,0,0,333,333,333,0,0
7,3735,599.842,0,0,333,333,333,0,0
8,3656,599.913,0,0,333,333,333,0,0
9,3687,599.998,0,0,333,333,333,0,0
10,3697,600.02,0,0,333,333,333,0,0
11,3682,599.719,0,0,333,333,333,0,0
12,3656,599.987,0,0,333,333,333,0,0
13,3792,599.944,0,0,333,333,333,0,0
14,3668,599.898,0,0,333,333,333,0,0
15,3673,599.905,0,0,333,333,333,0,0
16,3661,599.681,0,0,333,333,333,0,0
17,3687,599.912,0,0,333,333,333,0,0
18,3666,599.996,0,0,333,333,333,0,0
19,3736,599.928,0,0,333,333,333,0,0
20,3677,599.962,0,0,333,333,333,0,0
21,3708,599.868,0,0,333,333,333,0,0
22,3703,599.918,0,0,333,333,333,0,0
23,3698,600.05,0,0,333,333,333,0,0
24,3787,599.887,0,0,333,333,333,0,0
25,3668,599.932,0,0,333,333,333,0,0
26,3715,599.824,0,0,333,333,333,0,0
27,3719,599.955,0,0,333,333,333,0,0
28,3720,599.885,0,0,333,333,333,0,0
29,3660,599.966,0,0,333,333,333,0,0
0,3702,599.981,0,0,333,333,333,0,1
1,3655,599.672,0,0,333,333,333,0,1
2,3695,600.049,0,0,333,333,333,0,1
3,3681,599.664,0,0,333,333,333,0,1
4,3730,599.87,0,0,333,333,333,0,1
5,3662,600.095,0,0,333,333,333,0,1
6,3666,599.307,0,0,333,333,333,0,1
7,3707,600.031,0,0,333,333,333,0,1
8,3669,599.869,0,0,333,333,333,0,1
9,3609,599.893,0,0,333,333,333,0,1
10,3683,599.688,0,0,333,333,333,0,1
11,3665,599.758,0,0,333,333,333,0,1
12,3702,600.1,0,0,333,333,333,0,1
13,3680,599.708,0,0,333,333,333,0,1
14,3692,599.861,0,0,333,333,333,0,1
15,3664,599.933,0,0,333,333,333,0,1
16,3647,599.67,0,0,333,333,333,0,1
17,3667,599.98,0,0,333,333,333,0,1
18,3683,599.877,0,0,333,333,333,0,1
19,3688,599.778,0,0,333,333,333,0,1
20,3650,599.943,0,0,333,333,333,0,1
21,3662,600.041,0,0,333,333,333,0,1
22,3704,599.955,0,0,333,333,333,0,1
23,3682,599.672,0,0,333,333,333,0,1
24,3671,600.048,0,0,333,333,333,0,1
25,3659,599.693,0,0,333,333,333,0,1
26,3691,599.953,0,0,333,333,333,0,1
27,3660,599.875,0,0,333,333,333,0,1
28,3687,599.959,0,0,333,333,333,0,1
29,3629,600.008,0,0,333,333,333,0,1
0,3695,599.717,0,0,333,333,333,0,10
1,3704,599.872,0,0,333,333,333,0,10
2,3719,600.068,0,0,333,333,333,0,10
3,3717,599.719,0,0,333,333,333,0,10
4,3629,599.849,0,0,333,333,333,0,10
5,3684,599.979,0,0,333,333,333,0,10
6,3719,599.302,0,0,333,333,333,0,10
7,3672,600.004,0,0,333,333,333,0,10
8,3699,599.761,0,0,333,333,333,0,10
9,3630,600.096,0,0,333,333,333,0,10
10,3657,599.872,0,0,333,333,333,0,10
11,3652,599.821,0,0,333,333,333,0,10
12,3624,600.003,0,0,333,333,333,0,10
13,3648,599.841,0,0,333,333,333,0,10
14,3677,599.823,0,0,333,333,333,0,10
15,3655,599.981,0,0,333,333,333,0,10
16,3682,599.958,0,0,333,333,333,0,10
17,3663,600.069,0,0,333,333,333,0,10
18,3638,599.746,0,0,333,333,333,0,10
19,3648,599.93,0,0,333,333,333,0,10
20,3667,599.8,0,0,333,333,333,0,10
21,3714,599.855,0,0,333,333,333,0,10
22,3664,599.902,0,0,333,333,333,0,10
23,3675,599.714,0,0,333,333,333,0,10
24,3667,600.014,0,0,333,333,333,0,10
25,3664,600.017,0,0,333,333,333,0,10
26,3705,599.745,0,0,333,333,333,0,10
27,3713,600.124,0,0,333,333,333,0,10
28,3652,599.731,0,0,333,333,333,0,10
29,3624,599.914,0,0,333,333,333,0,10
0,3487,599.727,0,0,333,333,333,0,11
1,3507,599.984,0,0,333,333,333,0,11
2,3521,599.772,0,0,333,333,333,0,11
3,3496,599.917,0,0,333,333,333,0,11
4,3516,599.886,0,0,333,333,333,0,11
5,3497,599.971,0,0,333,333,333,0,11
6,3508,599.376,0,0,333,333,333,0,11
7,3484,599.921,0,0,333,333,333,0,11
8,3461,600.014,0,0,333,333,333,0,11
9,3511,599.969,0,0,333,333,333,0,11
10,3521,599.646,0,0,333,333,333,0,11
11,3496,599.708,0,0,333,333,333,0,11
12,3500,599.906,0,0,333,333,333,0,11
13,3489,600.012,0,0,333,333,333,0,11
14,3488,599.735,0,0,333,333,333,0,11
15,3479,599.763,0,0,333,333,333,0,11
16,3479,599.851,0,0,333,333,333,0,11
17,3488,599.689,0,0,333,333,333,0,11
18,3535,600.076,0,0,333,333,333,0,11
19,3507,599.727,0,0,333,333,333,0,11
20,3577,600.06,0,0,333,333,333,0,11
21,3506,599.778,0,0,333,333,333,0,11
22,3497,599.934,0,0,333,333,333,0,11
23,3491,599.788,0,0,333,333,333,0,11
24,3509,599.932,0,0,333,333,333,0,11
25,3500,599.885,0,0,333,333,333,0,11
26,3505,599.954,0,0,333,333,333,0,11
27,3512,599.828,0,0,333,333,333,0,11
28,3540,599.757,0,0,333,333,333,0,11
29,3488,599.972,0,0,333,333,333,0,11
0,3699,599.952,0,0,333,333,333,0,12
1,3740,599.754,0,0,333,333,333,0,12
2,3668,599.977,0,0,333,333,333,0,12
3,3768,599.931,0,0,333,333,333,0,12
4,3693,599.729,0,0,333,333,333,0,12
5,3695,599.948,0,0,333,333,333,0,12
6,3693,599.572,0,0,333,333,333,0,12
7,3667,599.684,0,0,333,333,333,0,12
8,3641,599.953,0,0,333,333,333,0,12
9,3665,600.197,0,0,333,333,333,0,12
10,3677,599.745,0,0,333,333,333,0,12
11,3652,599.722,0,0,333,333,333,0,12
12,3716,599.915,0,0,333,333,333,0,12
13,3712,599.685,0,0,333,333,333,0,12
14,3709,599.964,0,0,333,333,333,0,12
15,3702,599.804,0,0,333,333,333,0,12
16,3685,599.723,0,0,333,333,333,0,12
17,3724,599.88,0,0,333,333,333,0,12
18,3683,599.946,0,0,333,333,333,0,12
19,3695,599.841,0,0,333,333,333,0,12
20,3750,599.894,0,0,333,333,333,0,12
21,3676,599.986,0,0,333,333,333,0,12
22,3706,600.126,0,0,333,333,333,0,12
23,3762,599.774,0,0,333,333,333,0,12
24,3724,599.788,0,0,333,333,333,0,12
25,3696,599.839,0,0,333,333,333,0,12
26,3714,599.835,0,0,333,333,333,0,12
27,3686,599.843,0,0,333,333,333,0,12
28,3691,599.853,0,0,333,333,333,0,12
29,3671,599.885,0,0,333,333,333,0,12
0,3701,599.892,0,0,333,333,333,0,13
1,3677,599.769,0,0,333,333,333,0,13
2,3711,599.953,0,0,333,333,333,0,13
3,3687,599.837,0,0,333,333,333,0,13
4,3694,599.835,0,0,333,333,333,0,13
5,3692,599.819,0,0,333,333,333,0,13
6,3641,599.876,0,0,333,333,333,0,13
7,3712,599.764,0,0,333,333,333,0,13
8,3707,599.883,0,0,333,333,333,0,13
9,3657,599.995,0,0,333,333,333,0,13
10,3705,600.064,0,0,333,333,333,0,13
11,3693,599.743,0,0,333,333,333,0,13
12,3679,599.952,0,0,333,333,333,0,13
13,3693,599.889,0,0,333,333,333,0,13
14,3677,599.897,0,0,333,333,333,0,13
15,3715,599.878,0,0,333,333,333,0,13
16,3662,599.734,0,0,333,333,333,0,13
17,3738,599.948,0,0,333,333,333,0,13
18,3686,599.856,0,0,333,333,333,0,13
19,3674,599.886,0,0,333,333,333,0,13
20,3666,599.72,0,0,333,333,333,0,13
21,3665,599.987,0,0,333,333,333,0,13
22,3691,599.806,0,0,333,333,333,0,13
23,3719,599.973,0,0,333,333,333,0,13
24,3700,599.828,0,0,333,333,333,0,13
25,3690,599.747,0,0,333,333,333,0,13
26,3699,600.021,0,0,333,333,333,0,13
27,3693,599.757,0,0,333,333,333,0,13
28,3739,599.953,0,0,333,333,333,0,13
29,3679,599.936,0,0,333,333,333,0,13
0,3691,599.822,0,0,333,333,333,0,14
1,3725,599.986,0,0,333,333,333,0,14
2,3718,599.568,0,0,333,333,333,0,14
3,3703,600.102,0,0,333,333,333,0,14
4,3713,599.971,0,0,333,333,333,0,14
5,3693,599.848,0,0,333,333,333,0,14
6,3652,599.284,0,0,333,333,333,0,14
7,3718,599.983,0,0,333,333,333,0,14
8,3698,600.018,0,0,333,333,333,0,14
9,3686,599.749,0,0,333,333,333,0,14
10,3725,599.957,0,0,333,333,333,0,14
11,3691,599.992,0,0,333,333,333,0,14
12,3712,599.966,0,0,333,333,333,0,14
13,3732,599.791,0,0,333,333,333,0,14
14,3672,599.755,0,0,333,333,333,0,14
15,3660,599.849,0,0,333,333,333,0,14
16,3725,600.061,0,0,333,333,333,0,14
17,3748,599.919,0,0,333,333,333,0,14
18,3710,599.711,0,0,333,333,333,0,14
19,3717,600.112,0,0,333,333,333,0,14
20,3683,599.902,0,0,333,333,333,0,14
21,3745,599.932,0,0,333,333,333,0,14
22,3694,599.882,0,0,333,333,333,0,14
23,3728,599.966,0,0,333,333,333,0,14
24,3730,599.78,0,0,333,333,333,0,14
25,3731,599.88,0,0,333,333,333,0,14
26,3723,599.986,0,0,333,333,333,0,14
27,3713,599.816,0,0,333,333,333,0,14
28,3705,599.944,0,0,333,333,333,0,14
29,3649,599.87,0,0,333,333,333,0,14
0,3686,599.801,0,0,333,333,333,0,15
1,3708,599.983,0,0,333,333,333,0,15
2,3770,599.795,0,0,333,333,333,0,15
3,3670,600.033,0,0,333,333,333,0,15
4,3666,600.006,0,0,333,333,333,0,15
5,3764,600.053,0,0,333,333,333,0,15
6,3647,599.426,0,0,333,333,333,0,15
7,3746,599.675,0,0,333,333,333,0,15
8,3678,599.961,0,0,333,333,333,0,15
9,3680,600.082,0,0,333,333,333,0,15
10,3650,599.697,0,0,333,333,333,0,15
11,3633,599.944,0,0,333,333,333,0,15
12,3678,599.989,0,0,333,333,333,0,15
13,3685,599.693,0,0,333,333,333,0,15
14,3676,599.961,0,0,333,333,333,0,15
15,3668,599.962,0,0,333,333,333,0,15
16,3714,599.805,0,0,333,333,333,0,15
17,3674,599.763,0,0,333,333,333,0,15
18,3672,599.718,0,0,333,333,333,0,15
19,3691,600.058,0,0,333,333,333,0,15
20,3721,599.688,0,0,333,333,333,0,15
21,3718,599.947,0,0,333,333,333,0,15
22,3705,599.973,0,0,333,333,333,0,15
23,3726,599.694,0,0,333,333,333,0,15
24,3705,599.951,0,0,333,333,333,0,15
25,3679,599.944,0,0,333,333,333,0,15
26,3673,599.98,0,0,333,333,333,0,15
27,3679,599.781,0,0,333,333,333,0,15
28,3730,600.09,0,0,333,333,333,0,15
29,3620,599.726,0,0,333,333,333,0,15
0,3797,599.906,0,0,333,333,333,0,16
1,3778,600.084,0,0,333,333,333,0,16
2,3759,599.733,0,0,333,333,333,0,16
3,3746,599.877,0,0,333,333,333,0,16
4,3766,599.793,0,0,333,333,333,0,16
5,3698,599.952,0,0,333,333,333,0,16
6,3722,599.784,0,0,333,333,333,0,16
7,3730,599.978,0,0,333,333,333,0,16
8,3818,599.877,0,0,333,333,333,0,16
9,3751,600.001,0,0,333,333,333,0,16
10,3745,599.816,0,0,333,333,333,0,16
11,3748,600.02,0,0,333,333,333,0,16
12,3753,599.705,0,0,333,333,333,0,16
13,3742,599.835,0,0,333,333,333,0,16
14,3763,599.984,0,0,333,333,333,0,16
15,3757,599.928,0,0,333,333,333,0,16
16,3767,599.987,0,0,333,333,333,0,16
17,3692,599.77,0,0,333,333,333,0,16
18,3736,600.1,0,0,333,333,333,0,16
19,3746,599.866,0,0,333,333,333,0,16
20,3739,599.841,0,0,333,333,333,0,16
21,3760,600.003,0,0,333,333,333,0,16
22,3742,599.741,0,0,333,333,333,0,16
23,3830,600.071,0,0,333,333,333,0,16
24,3775,599.946,0,0,333,333,333,0,16
25,3772,599.794,0,0,333,333,333,0,16
26,3710,599.863,0,0,333,333,333,0,16
27,3778,599.808,0,0,333,333,333,0,16
28,3840,599.972,0,0,333,333,333,0,16
29,3711,599.902,0,0,333,333,333,0,16
0,3716,599.868,0,0,333,333,333,0,17
1,3753,599.821,0,0,333,333,333,0,17
2,3707,599.964,0,0,333,333,333,0,17
3,3747,599.774,0,0,333,333,333,0,17
