runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy,swInst,chInst
0,3660,600.032,0,0,333,333,333,0,0
1,3709,599.856,0,0,333,333,333,0,0
2,3784,599.985,0,0,333,333,333,0,0
3,3922,599.944,0,0,333,333,333,0,0
4,3810,600.074,0,0,333,333,333,0,0
5,3679,599.985,0,0,333,333,333,0,0
6,3795,599.892,0,0,333,333,333,0,0
7,3829,599.883,0,0,333,333,333,0,0
8,3831,600.017,0,0,333,333,333,0,0
9,3796,600.025,0,0,333,333,333,0,0
10,3997,599.911,0,0,333,333,333,0,0
11,3749,599.919,0,0,333,333,333,0,0
12,3873,599.955,0,0,333,333,333,0,0
13,3614,599.969,0,0,333,333,333,0,0
14,3696,599.963,0,0,333,333,333,0,0
15,3698,600.02,0,0,333,333,333,0,0
16,3486,599.949,0,0,333,333,333,0,0
17,3656,600.011,0,0,333,333,333,0,0
18,3877,599.925,0,0,333,333,333,0,0
19,3801,600.021,0,0,333,333,333,0,0
20,3848,599.922,0,0,333,333,333,0,0
21,3695,599.918,1,20,333,333,0,0,0
22,3638,599.974,0,0,333,333,333,0,0
23,3884,600.026,0,0,333,333,333,0,0
24,3630,599.858,0,0,333,333,333,0,0
25,3771,599.965,0,0,333,333,333,0,0
26,4213,600.016,0,0,333,333,333,0,0
27,3864,600.056,0,0,333,333,333,0,0
28,3871,599.983,0,0,333,333,333,0,0
29,3828,599.87,0,0,333,333,333,0,0
0,3988,599.93,0,0,333,333,333,0,1
1,4053,599.844,0,0,333,333,333,0,1
2,3868,600.001,0,0,333,333,333,0,1
3,3925,599.825,0,0,333,333,333,0,1
4,4021,599.908,0,0,333,333,333,0,1
5,4071,599.939,0,0,333,333,333,0,1
6,3797,600.047,0,0,333,333,333,0,1
7,3911,599.905,0,0,333,333,333,0,1
8,3653,599.876,0,0,333,333,333,0,1
9,3759,599.873,0,0,333,333,333,0,1
10,3963,599.892,0,0,333,333,333,0,1
11,3734,599.859,0,0,333,333,333,0,1
12,3557,599.838,0,0,333,333,333,0,1
13,3805,599.773,0,0,333,333,333,0,1
14,3748,599.814,0,0,333,333,333,0,1
15,3829,599.908,0,0,333,333,333,0,1
16,4110,600.022,0,0,333,333,333,0,1
17,3889,599.803,0,0,333,333,333,0,1
18,3841,599.916,0,0,333,333,333,0,1
19,3904,599.976,0,0,333,333,333,0,1
20,3765,599.967,0,0,333,333,333,0,1
21,3924,599.868,0,0,333,333,333,0,1
22,3931,599.856,0,0,333,333,333,0,1
23,3897,599.926,0,0,333,333,333,0,1
24,3857,599.927,0,0,333,333,333,0,1
25,3872,599.577,0,0,333,333,333,0,1
26,4427,599.806,0,0,333,333,333,0,1
27,3728,599.963,0,0,333,333,333,0,1
28,3810,599.858,0,0,333,333,333,0,1
29,3951,600.082,0,0,333,333,333,0,1
0,3647,599.996,0,0,333,333,333,0,10
1,3622,599.969,1,72,26.1905,1,0,0,10
2,3704,599.943,1,65,41.5,1,0,0,10
3,3808,599.87,0,0,333,333,333,0,10
4,3807,599.952,0,0,333,333,333,0,10
5,3722,599.964,0,0,333,333,333,0,10
6,3476,599.986,1,80,41.3333,1,0,0,10
7,3898,599.941,0,0,333,333,333,0,10
8,3890,599.994,0,0,333,333,333,0,10
9,3752,599.944,1,96,26,1,0,0,10
10,3701,600.044,2,111,8.08333,0.75,0.509891,0,10
11,3533,599.926,1,54,26.2333,1,0,0,10
12,3732,600.005,0,0,333,333,333,0,10
13,3711,599.968,1,60,41.5238,1,0,0,10
14,3574,599.907,0,0,333,333,333,0,10
15,3601,599.967,2,111,8.08333,0.75,0.509891,0,10
16,3498,599.994,1,80,41.3333,1,0,0,10
17,3842,599.89,0,0,333,333,333,0,10
18,3776,599.946,0,0,333,333,333,0,10
19,3569,600.032,0,0,333,333,333,0,10
20,3820,599.971,0,0,333,333,333,0,10
21,3793,599.992,0,0,333,333,333,0,10
22,3715,599.866,0,0,333,333,333,0,10
23,3865,600.075,0,0,333,333,333,0,10
24,3628,599.839,0,0,333,333,333,0,10
25,3524,600.088,1,84,26.1333,1,0,0,10
26,3815,599.919,0,0,333,333,333,0,10
27,3698,599.988,1,84,26.1333,1,0,0,10
28,3749,599.902,0,0,333,333,333,0,10
29,3589,600.059,1,90,26.0833,1,0,0,10
0,3939,599.877,0,0,333,333,333,0,11
1,3991,599.814,0,0,333,333,333,0,11
2,4051,599.759,0,0,333,333,333,0,11
3,3904,600.04,0,0,333,333,333,0,11
4,3854,599.916,0,0,333,333,333,0,11
5,3709,599.743,0,0,333,333,333,0,11
6,3997,599.875,0,0,333,333,333,0,11
7,3879,600,0,0,333,333,333,0,11
8,3716,599.971,0,0,333,333,333,0,11
9,3792,599.815,0,0,333,333,333,0,11
10,4160,599.977,0,0,333,333,333,0,11
11,3882,599.909,0,0,333,333,333,0,11
12,3721,599.82,0,0,333,333,333,0,11
13,4123,599.928,0,0,333,333,333,0,11
14,3811,599.867,0,0,333,333,333,0,11
15,3695,600.001,0,0,333,333,333,0,11
16,3742,599.958,0,0,333,333,333,0,11
17,3762,599.799,0,0,333,333,333,0,11
18,3900,600.057,0,0,333,333,333,0,11
19,3813,599.842,0,0,333,333,333,0,11
20,3799,599.895,0,0,333,333,333,0,11
21,3794,600.086,0,0,333,333,333,0,11
22,3891,599.836,0,0,333,333,333,0,11
23,3959,599.773,0,0,333,333,333,0,11
24,4056,599.898,0,0,333,333,333,0,11
25,3944,600.075,0,0,333,333,333,0,11
26,3770,599.793,0,0,333,333,333,0,11
27,3915,599.921,0,0,333,333,333,0,11
28,3837,599.812,0,0,333,333,333,0,11
29,3849,599.758,0,0,333,333,333,0,11
0,3941,599.852,0,0,333,333,333,0,12
1,3859,599.832,0,0,333,333,333,0,12
2,3697,599.799,1,108,83.5,1,0,0,12
3,3734,599.953,0,0,333,333,333,0,12
4,3927,599.972,0,0,333,333,333,0,12
5,4351,599.977,0,0,333,333,333,0,12
6,3752,599.893,0,0,333,333,333,0,12
7,3984,599.915,0,0,333,333,333,0,12
8,3967,599.784,0,0,333,333,333,0,12
9,3563,599.999,2,87,38.36,0.933333,0.509891,0,12
10,3743,599.867,1,60,83.8095,1,0,0,12
11,3894,599.848,0,0,333,333,333,0,12
12,4173,600.043,0,0,333,333,333,0,12
13,3720,599.701,0,0,333,333,333,0,12
14,4026,600.012,0,0,333,333,333,0,12
15,4197,599.81,0,0,333,333,333,0,12
16,3781,599.917,0,0,333,333,333,0,12
17,3882,599.935,0,0,333,333,333,0,12
18,3888,600.034,0,0,333,333,333,0,12
19,3864,599.928,0,0,333,333,333,0,12
20,3727,599.878,0,0,333,333,333,0,12
21,3812,599.872,0,0,333,333,333,0,12
22,4216,599.884,0,0,333,333,333,0,12
23,3828,599.892,0,0,333,333,333,0,12
24,3609,599.798,0,0,333,333,333,0,12
25,3821,599.659,0,0,333,333,333,0,12
26,3791,600.028,0,0,333,333,333,0,12
27,3873,599.906,0,0,333,333,333,0,12
28,3857,599.841,0,0,333,333,333,0,12
29,3822,599.85,0,0,333,333,333,0,12
0,3898,600.004,0,0,333,333,333,0,13
1,3735,599.968,1,85,333,333,0,0,13
2,3897,599.795,0,0,333,333,333,0,13
3,3937,599.916,0,0,333,333,333,0,13
4,3767,599.869,1,36,65,1,0,0,13
5,3935,599.954,0,0,333,333,333,0,13
6,3854,599.807,0,0,333,333,333,0,13
7,3739,599.984,1,56,65,1,0,0,13
8,3509,599.843,1,100,333,333,0,0,13
9,3902,599.962,0,0,333,333,333,0,13
10,3815,599.934,0,0,333,333,333,0,13
11,3683,599.976,2,68,8.875,1,inf,0,13
12,3506,599.871,1,105,333,333,0,0,13
13,3999,599.882,0,0,333,333,333,0,13
14,3738,599.876,0,0,333,333,333,0,13
15,3722,599.899,0,0,333,333,333,0,13
16,3733,599.971,0,0,333,333,333,0,13
17,3859,599.938,0,0,333,333,333,0,13
18,3849,599.935,0,0,333,333,333,0,13
19,3831,600,0,0,333,333,333,0,13
20,3662,599.901,1,90,333,333,0,0,13
