runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy,swInst,chInst
0,4304,599.981,0,0,333,333,333,0,0
1,4537,599.982,0,0,333,333,333,0,0
2,4776,599.932,0,0,333,333,333,0,0
3,4398,599.966,0,0,333,333,333,0,0
4,4570,599.966,0,0,333,333,333,0,0
5,4540,599.912,2,53,7.74074,0.777778,0.509891,0,0
6,4270,599.997,1,50,9.875,1,0,0,0
7,4239,599.961,0,0,333,333,333,0,0
8,4513,600.082,0,0,333,333,333,0,0
9,4483,599.945,1,40,28.875,1,0,0,0
10,4407,599.875,1,10,66.9062,1,0,0,0
11,4532,600.021,0,0,333,333,333,0,0
12,4267,599.87,0,0,333,333,333,0,0
13,4447,600.038,0,0,333,333,333,0,0
14,4175,599.963,0,0,333,333,333,0,0
15,4399,599.986,0,0,333,333,333,0,0
16,4429,599.915,0,0,333,333,333,0,0
17,4554,600.033,0,0,333,333,333,0,0
18,4235,599.903,0,0,333,333,333,0,0
19,4277,600.036,0,0,333,333,333,0,0
20,4593,599.907,0,0,333,333,333,0,0
21,4460,599.969,0,0,333,333,333,0,0
22,4430,600.044,0,0,333,333,333,0,0
23,4468,599.958,0,0,333,333,333,0,0
24,4297,599.902,0,0,333,333,333,0,0
25,4201,600.079,2,1,37.9583,0.944444,0.509891,0,0
26,4610,599.978,0,0,333,333,333,0,0
27,4581,599.965,0,0,333,333,333,0,0
28,4254,599.887,0,0,333,333,333,0,0
29,4469,600.044,0,0,333,333,333,0,0
0,4397,600.001,0,0,333,333,333,0,1
1,4404,599.984,0,0,333,333,333,0,1
2,4790,599.998,0,0,333,333,333,0,1
3,4366,599.933,0,0,333,333,333,0,1
4,4444,600.027,0,0,333,333,333,0,1
5,4308,599.972,0,0,333,333,333,0,1
6,4243,599.937,0,0,333,333,333,0,1
7,4489,599.993,0,0,333,333,333,0,1
8,4542,599.85,0,0,333,333,333,0,1
9,4464,600.094,0,0,333,333,333,0,1
10,4602,599.976,0,0,333,333,333,0,1
11,4417,599.902,0,0,333,333,333,0,1
12,4276,599.983,0,0,333,333,333,0,1
13,4688,599.95,0,0,333,333,333,0,1
14,4363,599.898,0,0,333,333,333,0,1
15,4513,599.888,0,0,333,333,333,0,1
16,4435,599.996,0,0,333,333,333,0,1
17,4700,600.028,0,0,333,333,333,0,1
18,4366,599.978,0,0,333,333,333,0,1
19,4506,599.94,0,0,333,333,333,0,1
20,4272,599.997,0,0,333,333,333,0,1
21,4460,600.05,0,0,333,333,333,0,1
22,4347,599.875,0,0,333,333,333,0,1
23,4640,599.998,0,0,333,333,333,0,1
24,4252,599.841,0,0,333,333,333,0,1
25,4378,600.064,0,0,333,333,333,0,1
26,4623,599.892,0,0,333,333,333,0,1
27,4380,600.064,0,0,333,333,333,0,1
28,4559,599.97,0,0,333,333,333,0,1
29,4476,599.893,0,0,333,333,333,0,1
0,4423,599.978,0,0,333,333,333,0,10
1,4411,599.989,0,0,333,333,333,0,10
2,4339,599.987,0,0,333,333,333,0,10
3,4319,599.9,0,0,333,333,333,0,10
4,4496,600.099,0,0,333,333,333,0,10
5,4372,599.952,0,0,333,333,333,0,10
6,4434,599.942,0,0,333,333,333,0,10
7,4494,599.991,0,0,333,333,333,0,10
8,4628,600.002,0,0,333,333,333,0,10
9,4430,599.894,0,0,333,333,333,0,10
10,4350,599.93,0,0,333,333,333,0,10
11,4339,600.019,0,0,333,333,333,0,10
12,4602,599.974,0,0,333,333,333,0,10
13,4364,599.998,0,0,333,333,333,0,10
14,4493,599.839,0,0,333,333,333,0,10
15,4558,600.015,0,0,333,333,333,0,10
16,4400,599.985,0,0,333,333,333,0,10
17,4264,599.875,0,0,333,333,333,0,10
18,4542,599.928,0,0,333,333,333,0,10
19,4385,600.085,0,0,333,333,333,0,10
20,4401,599.875,0,0,333,333,333,0,10
21,4440,599.958,0,0,333,333,333,0,10
22,4586,599.986,0,0,333,333,333,0,10
23,4588,599.944,0,0,333,333,333,0,10
24,4382,600.022,0,0,333,333,333,0,10
25,4651,599.968,0,0,333,333,333,0,10
26,4272,599.993,0,0,333,333,333,0,10
27,4513,599.89,0,0,333,333,333,0,10
28,4541,600.065,1,16,58.4722,1,0,0,10
29,4537,599.899,0,0,333,333,333,0,10
0,4403,599.884,0,0,333,333,333,0,11
1,4405,599.827,0,0,333,333,333,0,11
2,4368,600.031,0,0,333,333,333,0,11
3,4596,599.882,0,0,333,333,333,0,11
4,4352,600.005,0,0,333,333,333,0,11
5,4330,599.846,0,0,333,333,333,0,11
6,4623,599.886,0,0,333,333,333,0,11
7,4500,599.867,0,0,333,333,333,0,11
8,4578,600.007,0,0,333,333,333,0,11
9,4577,599.841,0,0,333,333,333,0,11
10,4564,599.915,0,0,333,333,333,0,11
11,4629,599.869,0,0,333,333,333,0,11
12,4386,600.018,0,0,333,333,333,0,11
13,4518,599.916,0,0,333,333,333,0,11
14,4348,599.754,0,0,333,333,333,0,11
15,4488,599.892,0,0,333,333,333,0,11
16,4495,599.943,0,0,333,333,333,0,11
17,4374,599.966,0,0,333,333,333,0,11
18,4513,599.928,0,0,333,333,333,0,11
19,4565,599.842,0,0,333,333,333,0,11
20,4351,599.799,0,0,333,333,333,0,11
21,4346,599.911,0,0,333,333,333,0,11
22,4457,599.818,0,0,333,333,333,0,11
23,4562,599.93,0,0,333,333,333,0,11
24,4410,599.954,0,0,333,333,333,0,11
25,4484,599.846,0,0,333,333,333,0,11
26,4333,600.022,0,0,333,333,333,0,11
27,4378,599.915,0,0,333,333,333,0,11
28,4312,599.848,0,0,333,333,333,0,11
29,4608,599.79,0,0,333,333,333,0,11
0,4414,599.968,0,0,333,333,333,0,12
1,4665,599.847,0,0,333,333,333,0,12
2,4505,600.008,0,0,333,333,333,0,12
3,4563,599.842,0,0,333,333,333,0,12
4,4526,599.823,0,0,333,333,333,0,12
5,4458,599.96,0,0,333,333,333,0,12
6,4380,599.947,0,0,333,333,333,0,12
7,4596,600.004,0,0,333,333,333,0,12
8,4649,599.771,0,0,333,333,333,0,12
9,4378,599.991,0,0,333,333,333,0,12
10,4821,599.763,0,0,333,333,333,0,12
11,4564,600,0,0,333,333,333,0,12
12,4696,599.832,0,0,333,333,333,0,12
13,4538,599.85,0,0,333,333,333,0,12
14,4285,600.04,1,28,333,333,0,0,12
15,4440,599.774,0,0,333,333,333,0,12
16,4598,599.898,0,0,333,333,333,0,12
17,4731,599.919,0,0,333,333,333,0,12
18,4453,599.941,0,0,333,333,333,0,12
19,4524,599.904,0,0,333,333,333,0,12
20,4434,599.921,0,0,333,333,333,0,12
21,4580,600.013,0,0,333,333,333,0,12
22,4358,599.938,0,0,333,333,333,0,12
23,4391,599.854,0,0,333,333,333,0,12
24,4566,599.935,2,0,43.2286,1,inf,0,12
25,4548,599.937,0,0,333,333,333,0,12
26,4368,599.915,0,0,333,333,333,0,12
