runNumber,genCount,elapsedTime,unaryHyperVol,binaryHyperVol,additiveEps,entropy,swInst,chInst
0,11987,599.282,9,0,0,0.326634,0,0
1,11378,599.927,9,0,0,0.326634,0,0
2,12262,599.954,9,0.6,1,0,0,0
3,11120,599.972,9,0,0,0.326634,0,0
4,12234,599.976,9,0.6,1,0,0,0
5,12032,600.012,9,0,0,0.326634,0,0
6,11800,600.017,9,0,0,0.326634,0,0
7,12058,599.951,9,0,0,0.326634,0,0
8,11611,599.984,9,0,0,0.326634,0,0
9,11942,600.008,9,0,0,0.326634,0,0
10,11547,599.949,9,0.6,1,0,0,0
11,11906,599.976,1,11.5,0.75,0.509891,0,0
12,11728,599.935,9,0,0,0.326634,0,0
13,12095,599.993,9,0.6,1,0,0,0
14,12227,600.009,9,0.6,1,0,0,0
15,11611,599.977,9,0,0,0.326634,0,0
16,12037,599.96,9,0.6,1,0,0,0
17,11920,599.932,9,0,0,0.326634,0,0
18,12446,600.037,9,0,0,0.326634,0,0
19,11768,599.928,3,7.2,0.666667,0.509891,0,0
20,11322,599.972,3,7.2,0.666667,0.509891,0,0
21,12048,600.015,9,0,0,0.326634,0,0
22,12357,599.981,9,0,0,0.326634,0,0
23,11392,599.924,9,0,0,0.326634,0,0
24,11773,599.999,9,0.6,1,0,0,0
25,11874,599.91,9,0.6,1,0,0,0
26,11554,599.996,9,0.6,1,0,0,0
27,11702,599.913,9,0.6,1,0,0,0
28,11775,599.998,9,0,0,0.326634,0,0
29,11737,600.002,3,7.8,0.666667,0.509891,0,0
0,12082,599.458,1,333,333,0,0,1
1,11653,599.948,0,333,333,0,0,1
2,11705,599.916,0,333,333,0,0,1
3,11845,599.978,1,333,333,0,0,1
4,11948,600,0,333,333,0,0,1
5,11594,599.972,0,3,1,0,0,1
6,11877,599.972,0,3,1,0,0,1
7,12404,599.877,1,333,333,0,0,1
8,11800,600.001,0,333,333,0,0,1
9,11833,599.894,1,333,333,0,0,1
10,11692,599.998,1,333,333,0,0,1
11,12003,599.987,1,333,333,0,0,1
12,11532,599.916,0,1,1,inf,0,1
13,12193,599.927,1,333,333,0,0,1
14,11374,599.975,0,333,333,0,0,1
15,11652,599.95,0,333,333,0,0,1
16,11961,600.022,0,333,333,0,0,1
17,11953,599.925,0,333,333,0,0,1
18,12114,599.966,1,333,333,0,0,1
19,11522,599.955,1,333,333,0,0,1
20,11728,599.954,1,333,333,0,0,1
21,12197,599.976,1,333,333,0,0,1
22,12100,599.925,1,333,333,0,0,1
23,11533,599.963,0,3,1,0,0,1
24,12076,599.898,1,333,333,0,0,1
25,11739,599.952,1,333,333,0,0,1
26,12294,599.921,0,333,333,0,0,1
27,12270,599.93,1,333,333,0,0,1
28,11367,599.949,1,333,333,0,0,1
29,11866,599.946,0,333,333,0,0,1
0,11778,599.658,4,3.7,0.5,0.509891,0,10
1,12897,599.938,0,9.1,1,0,0,10
2,11715,599.929,4,3.7,0.5,0.509891,0,10
3,11602,599.943,4,3.7,0.333333,0.49717,0,10
4,11596,599.912,4,3.7,0.333333,0.49717,0,10
5,11704,599.905,3,5.4,0.666667,0.49717,0,10
6,11275,599.879,4,3.7,0.333333,0.49717,0,10
7,11797,599.881,0,9.1,1,0,0,10
8,12290,599.99,0,9.1,1,0,0,10
9,12017,599.939,0,9.1,1,0,0,10
10,12093,599.858,0,9.1,1,0,0,10
11,11428,599.913,2,8.2,0.666667,0.49717,0,10
12,11343,599.85,4,3.7,0.5,0.509891,0,10
13,11497,599.863,4,3.7,0.5,0.509891,0,10
14,11995,599.924,0,9.1,1,0,0,10
15,12166,599.92,0,9.1,1,0,0,10
16,11701,599.889,2,8.2,0.666667,0.49717,0,10
17,11942,599.939,0,9.1,1,0,0,10
18,12215,599.829,0,9.1,1,0,0,10
