runNumber,genCount,elapsedTime,unaryHyperVol,binaryHyperVol,additiveEps,entropy,swInst,chInst
0,4195,600.036,0,10.2,1,0,0,0
1,4127,599.867,0,333,333,333,0,0
2,3949,600.07,7,333,333,0,0,0
3,4044,599.935,0,333,333,333,0,0
4,4072,599.959,0,333,333,333,0,0
5,3974,599.977,7,333,333,0,0,0
6,3889,599.997,0,8.6,1,0,0,0
7,4073,599.954,0,3.8,1,0,0,0
8,4063,599.922,2,333,333,0,0,0
9,3869,599.924,5,333,333,0,0,0
10,3914,600.023,0,8.6,1,0,0,0
11,4140,599.905,0,333,333,333,0,0
12,4027,600.028,0,333,333,333,0,0
13,3865,599.926,0,3.8,1,0,0,0
14,3988,600.048,5,333,333,0,0,0
15,3978,599.952,0,3.8,1,0,0,0
16,3937,600.072,0,8.6,1,0,0,0
17,3998,599.475,0,13.4,1,0,0,0
18,3885,599.856,0,5.4,1,0,0,0
19,3996,600.038,0,16.6,1,0,0,0
20,4183,599.968,0,333,333,333,0,0
21,3963,600.02,0,7,1,0,0,0
22,4005,599.909,0,333,333,0,0,0
23,4035,599.917,0,333,333,333,0,0
24,4037,600.024,0,333,333,333,0,0
25,3904,600.005,7,333,333,0,0,0
26,4034,599.447,0,333,333,333,0,0
27,4236,600.029,0,333,333,333,0,0
28,4004,599.987,9,333,333,0,0,0
29,3909,600.004,7,333,333,0,0,0
0,4235,600.089,0,333,333,333,0,1
1,4133,599.874,0,333,333,333,0,1
2,3961,600.076,6,11.9,1,0,0,1
3,4204,599.746,0,333,333,333,0,1
4,3902,600.024,20,333,333,0,0,1
5,4183,600.079,0,333,333,333,0,1
6,4047,599.957,0,333,333,333,0,1
7,4099,599.818,0,333,333,333,0,1
8,4190,599.966,0,333,333,333,0,1
9,4028,600.05,6,11,1,0,0,1
10,4034,599.869,0,333,333,333,0,1
11,4039,600.07,0,333,333,333,0,1
12,3873,599.945,20,333,333,0,0,1
13,4085,599.867,0,333,333,333,0,1
14,3930,600.071,15,333,333,0,0,1
15,4024,599.977,0,333,333,333,0,1
16,3971,599.772,0,333,333,333,0,1
17,4170,599.784,0,333,333,333,0,1
18,4122,600.066,0,333,333,0,0,1
19,4022,599.899,0,333,333,333,0,1
20,4006,599.912,0,333,333,333,0,1
21,4107,600.028,0,333,333,333,0,1
22,4051,599.915,0,333,333,333,0,1
23,4188,600.015,0,333,333,333,0,1
24,4081,599.915,0,333,333,333,0,1
25,4095,599.919,0,333,333,0,0,1
26,4100,599.995,0,333,333,333,0,1
27,4048,599.941,6,13.1,1,0.346129,0,1
28,4009,599.94,0,333,333,333,0,1
29,4156,599.963,0,333,333,333,0,1
0,4166,599.987,0,333,333,333,0,10
1,4224,599.785,0,333,333,333,0,10
2,3946,599.438,4,5.3,1,0,0,10
3,3977,599.854,6,4.8,1,0,0,10
4,4105,599.921,0,333,333,333,0,10
5,4312,599.728,0,333,333,333,0,10
6,3994,600.023,0,25.5,0.714286,0.509891,0,10
7,4095,599.818,10,3.8,1,0,0,10
8,4166,599.785,0,333,333,333,0,10
9,4154,599.916,0,333,333,333,0,10
10,4314,599.912,0,8.5,1,0,0,10
11,4063,599.944,12,3.3,1,0,0,10
12,4025,599.653,8,4.3,1,0,0,10
13,4054,599.94,0,333,333,333,0,10
14,3953,599.807,2,13.6,1,0,0,10
15,4285,599.712,0,333,333,333,0,10
16,4102,599.763,0,333,333,333,0,10
17,4070,599.822,0,333,333,333,0,10
18,3935,599.737,5,11.8,1,0,0,10
19,4137,599.712,7,9,0.5,0.509891,0,10
20,4205,599.785,0,333,333,333,0,10
21,3870,599.707,7,7.4,0.8,0.488066,0,10
22,4250,599.715,0,333,333,333,0,10
23,4068,599.588,0,333,333,333,0,10
24,4139,599.918,0,333,333,333,0,10
25,3994,599.824,6,4.8,1,0,0,10
26,4116,599.827,0,333,333,333,0,10
27,4055,599.891,8,4.3,1,0,0,10
28,4187,599.671,0,333,333,333,0,10
29,4017,599.774,14,2.8,1,0,0,10
0,3885,599.281,0,333,333,333,0,11
1,3805,600.004,32,7.5,1,0,0,11
2,3956,599.432,0,333,333,333,0,11
3,3892,599.837,0,333,333,333,0,11
4,3881,599.438,0,333,333,333,0,11
5,3841,599.926,36,5.9,1,0,0,11
6,3896,600.066,0,333,333,333,0,11
7,3801,599.874,30,8.2,1,0,0,11
8,3877,599.69,0,333,333,333,0,11
9,3718,599.722,0,36.2,1,0,0,11
10,3820,599.782,44,333,333,0,0,11
11,3798,599.891,32,7.5,1,0,0,11
12,3949,599.947,0,333,333,333,0,11
