runNumber,genCount,elapsedTime,unaryHyperVol,binaryHyperVol,additiveEps,entropy,swInst,chInst
0,3842,599.395,0,333,333,333,0,0
1,3618,599.929,0,333,333,333,0,0
2,3555,599.658,0,333,333,333,0,0
3,3717,599.692,0,333,333,333,0,0
4,3579,599.864,0,333,333,333,0,0
5,3622,599.892,0,333,333,333,0,0
6,3671,599.798,0,333,333,333,0,0
7,3661,599.981,0,333,333,333,0,0
8,3553,599.791,0,333,333,333,0,0
9,3700,600.026,0,333,333,333,0,0
10,3625,599.718,0,333,333,333,0,0
11,3589,599.968,0,333,333,333,0,0
12,3685,599.968,0,333,333,333,0,0
13,3685,599.703,0,333,333,333,0,0
14,3684,599.848,0,333,333,333,0,0
15,3681,600.131,0,333,333,333,0,0
16,3534,599.677,0,333,333,333,0,0
17,3800,599.918,0,333,333,333,0,0
18,3836,600.487,0,333,333,333,0,0
19,3620,600.382,0,333,333,333,0,0
20,3659,599.981,0,333,333,333,0,0
21,3662,599.688,0,333,333,333,0,0
22,3740,600.027,0,333,333,333,0,0
23,3588,600.007,0,333,333,333,0,0
24,3581,599.844,0,333,333,333,0,0
25,3649,599.722,0,333,333,333,0,0
26,3638,599.989,0,333,333,333,0,0
27,3676,599.904,0,333,333,333,0,0
28,3678,600.264,0,333,333,333,0,0
29,3611,599.492,0,333,333,333,0,0
0,3582,600.486,0,333,333,333,0,1
1,3609,601.18,0,333,333,333,0,1
2,3609,599.241,0,333,333,333,0,1
3,3603,600.223,0,333,333,333,0,1
4,3560,599.565,0,333,333,333,0,1
5,3625,600.04,0,333,333,333,0,1
6,3616,599.946,0,333,333,333,0,1
7,3607,600.197,0,333,333,333,0,1
8,3497,599.293,0,333,333,333,0,1
9,3570,599.937,0,333,333,333,0,1
10,3575,600.579,0,333,333,333,0,1
11,3611,600.232,0,333,333,333,0,1
12,3589,600.205,0,333,333,333,0,1
13,3604,599.911,0,333,333,333,0,1
14,3587,599.893,0,333,333,333,0,1
15,3600,599.897,0,333,333,333,0,1
16,3435,599.679,0,333,333,333,0,1
17,3607,600.083,0,333,333,333,0,1
18,3562,599.903,0,333,333,333,0,1
19,3577,600.032,0,333,333,333,0,1
20,3641,599.944,0,333,333,333,0,1
21,3577,599.915,0,333,333,333,0,1
22,3563,599.88,0,333,333,333,0,1
23,3586,600.203,0,333,333,333,0,1
24,3543,599.917,0,333,333,333,0,1
25,3612,599.96,0,333,333,333,0,1
26,3595,599.697,0,333,333,333,0,1
27,3580,600.278,0,333,333,333,0,1
