runNumber,genCount,elapsedTime,unaryHyperVol,binaryHyperVol,additiveEps,entropy,swInst,chInst
0,4434,600.121,0,44.5,1,0,0,0
1,4525,599.854,0,333,333,333,0,0
2,4339,599.657,0,333,333,333,0,0
3,4290,599.879,45,333,333,0,0,0
4,4257,599.917,10,20.9,1,0,0,0
5,4250,600.052,0,56.8,1,0,0,0
6,4343,599.685,0,333,333,333,0,0
7,4312,599.806,0,333,333,333,0,0
8,4364,599.982,26,7.3,1,0,0,0
9,4410,599.943,0,333,333,333,0,0
10,4368,599.822,24,9,1,0,0,0
11,4293,599.912,0,333,333,333,0,0
12,4330,599.702,0,333,333,333,0,0
13,4353,599.908,27,333,333,0,0,0
14,4317,600.021,30,333,333,0,0,0
15,4271,599.904,0,333,333,333,0,0
16,4202,599.686,12,333,333,0,0,0
17,4257,599.581,42,333,333,0,0,0
18,4303,599.962,0,333,333,333,0,0
19,4492,599.571,0,40.4,1,0,0,0
20,4294,599.782,0,73.2,1,0,0,0
21,4346,599.961,39,333,333,0,0,0
22,4360,599.923,18,14.1,1,0,0,0
23,4396,599.762,0,333,333,333,0,0
24,4383,599.72,0,333,333,333,0,0
25,4470,599.588,0,333,333,333,0,0
26,4282,600.005,30,333,333,0,0,0
27,4191,599.739,0,333,333,333,0,0
28,4366,599.809,0,333,333,333,0,0
29,4249,599.927,0,333,333,333,0,0
0,4425,599.673,0,333,333,333,0,1
1,4388,599.857,0,333,333,333,0,1
2,4285,599.816,0,333,333,333,0,1
3,4425,599.951,0,333,333,333,0,1
4,4276,600.066,0,333,333,333,0,1
5,4272,599.908,0,333,333,333,0,1
6,4451,599.954,0,333,333,333,0,1
7,4412,600.045,0,333,333,333,0,1
8,4525,599.967,0,333,333,333,0,1
9,4366,599.886,0,333,333,333,0,1
10,4397,599.986,0,333,333,333,0,1
11,4383,599.997,0,333,333,333,0,1
12,4450,599.932,0,333,333,333,0,1
13,4479,599.989,0,333,333,333,0,1
14,4497,600.034,0,333,333,333,0,1
15,4367,599.893,0,333,333,333,0,1
16,4237,600.002,0,333,333,333,0,1
17,4453,599.927,0,333,333,333,0,1
18,4401,599.947,0,333,333,333,0,1
19,4414,599.962,0,333,333,333,0,1
20,4486,599.985,0,333,333,333,0,1
21,4097,600.066,0,333,333,333,0,1
22,4357,599.988,0,333,333,333,0,1
23,4420,599.902,0,333,333,333,0,1
24,4500,599.866,0,333,333,333,0,1
25,4261,599.962,0,333,333,333,0,1
26,4309,599.885,0,333,333,333,0,1
27,4450,599.984,0,333,333,333,0,1
28,4381,600.056,0,333,333,333,0,1
29,4389,599.896,0,333,333,333,0,1
0,4215,599.151,0,333,333,333,0,10
1,4327,600.001,0,333,333,333,0,10
2,4332,599.977,0,333,333,333,0,10
3,4316,599.981,0,333,333,333,0,10
4,4458,599.903,0,333,333,333,0,10
5,4299,600.049,64,0,0,0.326634,0,10
6,4392,599.937,0,333,333,333,0,10
7,4351,599.931,0,333,333,333,0,10
8,4308,599.896,48,20.5,1,0,0,10
9,4424,600.055,0,333,333,333,0,10
10,4325,599.902,0,333,333,333,0,10
11,4346,599.969,0,333,333,333,0,10
12,4372,599.996,0,333,333,333,0,10
13,4348,599.942,0,333,333,333,0,10
14,4178,599.877,18,44.4,1,0,0,10
15,4101,600.078,0,333,333,333,0,10
16,4218,599.933,36,24.8,1,0,0,10
17,4261,599.932,0,333,333,333,0,10
18,4209,599.847,0,333,333,333,0,10
19,4362,599.968,0,333,333,333,0,10
20,4315,599.846,0,333,333,333,0,10
21,4192,600.002,0,333,333,333,0,10
22,4210,599.877,0,90.3,1,0,0,10
23,4334,599.957,0,333,333,333,0,10
24,4245,599.983,0,333,333,333,0,10
25,4425,600.002,0,333,333,333,0,10
26,4388,599.936,0,333,333,333,0,10
27,4307,600.033,0,333,333,333,0,10
28,4433,599.901,0,333,333,333,0,10
29,4323,599.922,4,75,1,0,0,10
0,4407,599.501,0,333,333,333,0,11
1,4436,600.015,0,333,333,333,0,11
2,4454,599.702,0,333,333,333,0,11
3,4529,599.823,0,8,1,0,0,11
4,4580,599.903,0,333,333,333,0,11
5,4472,599.915,0,333,333,333,0,11
6,4383,599.913,0,333,333,333,0,11
7,4444,600.063,0,333,333,333,0,11
8,4448,599.722,0,333,333,333,0,11
9,4544,599.976,0,333,333,333,0,11
10,4386,599.941,0,333,333,333,0,11
11,4469,599.901,0,333,333,333,0,11
12,4406,599.957,0,333,333,333,0,11
13,4425,599.725,0,333,333,333,0,11
14,4496,599.911,8,333,333,0,0,11
15,4365,599.741,0,333,333,333,0,11
16,4429,599.675,0,333,333,333,0,11
17,4487,599.798,0,333,333,333,0,11
18,4354,599.694,0,333,333,333,0,11
19,4387,599.874,0,333,333,333,0,11
20,4315,599.709,0,333,333,333,0,11
21,4310,599.805,0,333,333,333,0,11
22,4508,599.772,0,333,333,0,0,11
23,4425,599.605,0,333,333,333,0,11
24,4433,599.875,0,333,333,333,0,11
25,4347,599.73,0,333,333,333,0,11
26,4331,599.732,0,333,333,333,0,11
27,4411,599.886,0,333,333,333,0,11
28,4323,599.595,0,333,333,0,0,11
29,4401,599.861,0,333,333,333,0,11
0,4542,599.828,0,333,333,333,0,12
1,4421,599.942,116,5.2,1,0,0,12
2,4477,599.741,75,24,1,0,0,12
3,4397,599.79,0,333,333,333,0,12
4,4563,599.961,0,333,333,333,0,12
5,4452,599.9,149,1.5,0.75,0.488066,0,12
6,4427,599.999,44,48.4,1,0,0,12
7,4459,599.794,0,333,333,333,0,12
8,4413,599.982,38,60.4,1,0,0,12
9,4467,599.784,0,333,333,333,0,12
10,4613,599.781,132,3.2,1,0,0,12
11,4368,599.858,68,60.2,0.75,0.509891,0,12
12,4492,600.016,0,333,333,333,0,12
